bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Strict,"41.7 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",30.0ft,"San Jose, CA",2018 Forest River Forester GTS,"$6,000",$235,"$1,354","Year - 2018,Manufacturer - Forest River RV,Make - Forester TS,Model - 2381,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 3,Slides - 4,Length - 30.0 ft,Height - 10.0 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2018
,Strict,"59.3 miles from San Francisco, CA",,,20.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$70,,"Year - 2019,Manufacturer - Winnebago Industries Towables,Make - Winnebago,Model - Minnie Drop 170S,Class - Travel Trailer,Sleeps - 4,Length - 20.0 ft",4,,Travel Trailer,2019
"Shower,Toilet,Bathroom Sink",Strict,"59.3 miles from San Francisco, CA","CD Player,TV,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",27.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$120,,"Year - 2019,Manufacturer - Winnebago Industries Towables,Make - Minnie,Model - 2500RL,Class - Travel Trailer,Sleeps - 5,Slides - 1,Length - 27.0 ft,Height - 10.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2019
,Strict,"59.3 miles from San Francisco, CA",,,24.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$105,$700,"Year - 2019,Manufacturer - Winnebago,Make - Minnie Winnie,Model - 22M,Class - Travel Trailer,Sleeps - 5,Number of Bunk Beds - 1,Slides - 1,Length - 24.0 ft,Height - 11.0 ft",5,,Travel Trailer,2019
,Strict,"59.3 miles from San Francisco, CA",,,33ft,"Morgan Hill, CA",Winter Specials Available Now!,"$3,060",$120,$805,"Year - 2019,Manufacturer - Coachmen,Make - Catalina SBX 291BHS (T2958),Class - Travel Trailer,Sleeps - 8,Length - 33.0 ft",8,,Travel Trailer,2019
,Strict,"59.3 miles from San Francisco, CA",,,25ft,"Morgan Hill, CA",2019 Coachmen Prism 2150CB,,$165,"$1,120","Year - 2019,Manufacturer - Coachmen,Make - Prism 2150CB,Class - Class B Camping Van,Sleeps - 5,Length - 25.0 ft",5,,Class B Camping Van,2019
"Shower,Toilet,Bathroom Sink",Standard,"85.7 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",29.0ft,"Rancho Cordova, CA",2017 Forest River Wildcat,"$3,188",$125,$800,"Year - 2017,Manufacturer - Forest River RV,Make - Wildcat Maxx,Model - 26BHS,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 2,Slides - 1,Length - 29.0 ft,Height - 11.0 ft",7,Hot & Cold Water Supply,Travel Trailer,2017
"Toilet,Shower,Bathroom Sink",Standard,"81.2 miles from San Francisco, CA","CD Player,TV,AM/FM Radio,DVD Player,iPod Docking Station","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",33.0ft,"Hollister, CA",NO BURNINGMAN - NO DRIVING. GLAMPING AT ...,"$10,750",$399,"$2,750","Year - 2018,Manufacturer - Thor Motor Coach,Make - ACE,Model - 32.1,Class - Class A Motor Home,Sleeps - 6,Number of Bunk Beds - 1,Slides - 2,Length - 33.0 ft,Height - 12.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2018
"Shower,Toilet,Bathroom Sink",Standard,"60.4 miles from San Francisco, CA","DVD Player,TV,CD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",32.0ft,"Soquel, CA",2014 Coachman Leprachaun,"$6,120",$240,"$1,512","Year - 2014,Manufacturer - Coachman,Make - Leprachaun,Model - 319DS,Class - Class C Motor Home,Sleeps - 8,Total Number of Beds - 4,Slides - 2,Fresh water tank - 50.0 gal,Length - 32.0 ft,Height - 11.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2014
"Toilet,Shower,Bathroom Sink",Strict,"84.3 miles from San Francisco, CA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",32.0ft,"Pacific Grove, CA",Inquire about our pre reserved campsites...,"$2,000",$179,"$1,000","Year - 2017,Manufacturer - Dutchmen RV,Make - Coleman Lantern Series,Model - 285BH,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 4,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 60.0 gal,Length - 32.0 ft,Height - 11.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Standard,"98.0 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",28.0ft,"Plumas Lake, CA",2018 Jayco Jay Flight SLX 28RLS,"$3,000",$130,$800,"Year - 2018,Manufacturer - Jayco,Make - Jay Flight SLX,Model - 28RLS,Class - Travel Trailer,Sleeps - 6,Slides - 1,Length - 28.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Bathroom Sink,Toilet",Standard,"38.2 miles from San Francisco, CA","TV,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",26ft,"Cupertino, CA",2010 sunnybrook harmony 26fbs sunnybrook...,"$2,397",$94,$592,"Year - 2010,Manufacturer - sunnybrook harmony 26fbs,Make - sunnybrook harmony 26fbs,Class - Travel Trailer,Sleeps - 6,Length - 26.0 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2010
"Bathroom Sink,Toilet,Shower",Standard,"42.4 miles from San Francisco, CA","TV,CD Player,AM/FM Radio","Range (Stove),Microwave,Kitchen Sink,Refrigerator,Slide Out",28.0ft,"San Jose, CA",Brasil’s Family RV ,"$6,222",$244,"$1,537","Year - 2019,Manufacturer - Jayco,Make - Redhawk,Model - 26XD,Class - Class C Motor Home,Sleeps - 6,Number of Bunk Beds - 1,Slides - 2,Length - 28.0 ft,Height - 11.0 ft",6,"Hot & Cold Water Supply,Roof Air Conditioning,In Dash Air Conditioning",Class C Motor Home,2019
"Shower,Toilet,Bathroom Sink",Standard,"81.1 miles from San Francisco, CA","TV,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31.5ft,"San Juan Bautista, CA",NEW! 2020 Sunset Trail Super Lite 272BH ...,"$3,545",$139,$876,"Year - 2020,Manufacturer - CrossRoads RV,Make - Sunset Trail Super Lite,Model - 272BH,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 4,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 30.0 gal,Length - 31.5 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply,In Dash Air Conditioning",Travel Trailer,2020
"Shower,Toilet,Bathroom Sink",Standard,"46.2 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",30ft,"Vacaville, CA",2014 North wood Desert fox,"$3,290",$129,$813,"Year - 2014,Manufacturer - North wood,Make - Desert fox,Class - Travel Trailer,Sleeps - 8,Length - 30.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2014
"Shower,Toilet,Bathroom Sink",Standard,"44.9 miles from San Francisco, CA","TV,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",36.0ft,"San Jose, CA",2019 Elkridge Extreme Light e326,"$4,199",$169,"$1,099","Year - 2019,Manufacturer - Heartland,Make - ElkRidge Xtreme Lite,Model - 326,Class - Fifth Wheel,Sleeps - 9,Total Number of Beds - 6,Number of Bunk Beds - 3,Slides - 2,Length - 36.0 ft,Height - 11.0 ft",9,"Hot & Cold Water Supply,Roof Air Conditioning",Fifth Wheel,2019
"Shower,Toilet,Bathroom Sink",Standard,"74.8 miles from San Francisco, CA","AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",24.0ft,"Galt, CA",Abbey Adventure Winnebago View 23J Sleep...,"$3,995",$139,$945,"Year - 2006,Manufacturer - Winnebago,Make - View,Model - 24J,Class - Class C Motor Home,Sleeps - 5,Total Number of Beds - 3,Slides - 1,Fresh water tank - 35.0 gal,Length - 24.0 ft,Height - 11.0 ft",5,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2006
"Shower,Toilet,Bathroom Sink",Standard,"45.9 miles from San Francisco, CA","AM/FM Radio,DVD Player,TV,CD Player","Kitchen Sink,Refrigerator,Range (Stove),Microwave",30ft,"San Jose, CA",The Ultimate Cruiser!.... This motorhome...,"$4,800",$160,"$1,120","Year - 2009,Manufacturer - Four Winds,Make - 5000,Class - Class C Motor Home,Sleeps - 6,Fresh water tank - 55.0 gal,Length - 30.0 ft",6,"Hot & Cold Water Supply,In Dash Air Conditioning,Roof Air Conditioning",Class C Motor Home,2009
"Shower,Toilet,Bathroom Sink",Standard,"40.9 miles from San Francisco, CA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave",27.0ft,"San Jose, CA",2009 Keystone Energy - Haul Your Toys an...,"$3,290",$129,$810,"Year - 2009,Manufacturer - Keystone,Make - Energy,Model - 230FS,Class - Toy Hauler,Sleeps - 10,Length - 27.0 ft",10,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2009
"Shower,Toilet,Bathroom Sink",Flexible,"87.6 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",19.0ft,"Monterey, CA",2017 Jayco Hummingbird 17RK Baja,"$2,780",$99,$687,"Year - 2017,Manufacturer - Jayco,Make - Hummingbird,Model - 17RK,Class - Travel Trailer,Sleeps - 3,Total Number of Beds - 2,Slides - 1,Fresh water tank - 26.0 gal,Length - 19.0 ft,Height - 9.0 ft",3,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Strict,"24.8 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",27ft,"Vallejo, CA",2011 Forest River SS2216,"$3,545",$139,$876,"Year - 2011,Manufacturer - Forest River,Make - SS2216,Class - Toy Hauler,Sleeps - 10,Length - 27.0 ft",10,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2011
"Shower,Toilet,Bathroom Sink",Standard,"99.4 miles from San Francisco, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",31.0ft,"Rescue, CA",2015 Bunkhouse Bunk Super Slide Out Thor...,,$225,"$1,400","Year - 2015,Manufacturer - Thor Motor Coach,Make - ACE,Model - 30.2,Class - Class A Motor Home,Sleeps - 7,Total Number of Beds - 6,Number of Bunk Beds - 2,Slides - 1,Length - 31.0 ft,Height - 12.0 ft",7,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2015
