bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
,Standard,"34.1 miles from Los Angeles, CA",,,29.0ft,"Ontario, CA",Attitude Toy Hauler,,$224,"$1,441","Year - 2018,Manufacturer - Eclipse,Make - Attitude Limited,Model - 21SA-LE,Class - Toy Hauler,Sleeps - 6,Number of Bunk Beds - 1,Length - 29.0 ft,Height - 11.0 ft",6,,Toy Hauler,2018
"Shower,Toilet,Bathroom Sink",Standard,"53.7 miles from Los Angeles, CA","TV,iPod Docking Station,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",30.0ft,"Riverside, CA",2020 Entegra Coach Esteem 27,,$375,,"Year - 2020,Manufacturer - Entegra Coach,Make - Esteem,Model - 27,Class - Class C Motor Home,Sleeps - 8,Total Number of Beds - 4,Slides - 2,Fresh water tank - 49.0 gal,Length - 30.0 ft,Height - 13.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2020
"Shower,Toilet,Bathroom Sink",Standard,"89.9 miles from Los Angeles, CA","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",29.0ft,"Encinitas, CA",2016 Forest River-GW DBH Encinitas Seaha...,"$2,678",$110,$665,"Year - 2016,Manufacturer - Forest River RV,Make - Cherokee Grey Wolf,Model - 23DBH,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 4,Number of Bunk Beds - 2,Slides - 1,Length - 29.0 ft,Height - 10.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2016
"Shower,Toilet,Bathroom Sink",Standard,"66.6 miles from Los Angeles, CA","TV,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31.0ft,"Menifee, CA",2018 FOREST RIVER Rockwood 2715v,,$115,$805,"Year - 2018,Manufacturer - Forest River RV,Make - Rockwood Ultra V,Model - 2715VS,Class - Travel Trailer,Sleeps - 5,Total Number of Beds - 2,Slides - 2,Fresh water tank - 430.0 gal,Length - 31.0 ft,Height - 11.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
,Standard,"39.4 miles from Los Angeles, CA",,Refrigerator,34ft,"Irvine, CA",2018 A Frame Camper Idk,"$2,780",$109,$687,"Year - 2018,Manufacturer - A Frame Camper,Make - Idk,Class - Travel Trailer,Sleeps - 12,Length - 34.0 ft",12,,Travel Trailer,2018
"Toilet,Shower,Bathroom Sink",Strict,"23.4 miles from Los Angeles, CA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",45ft,"Stanton, CA",45ft King Aire Diesel by Newmar,"$44,970","$1,499","$10,493","Year - 2012,Manufacturer - newmar,Make - King Aire,Class - Class A Motor Home,Sleeps - 5,Fresh water tank - 105.0 gal,Length - 45.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2012
"Shower,Toilet,Bathroom Sink",Standard,"42.7 miles from Los Angeles, CA","TV,DVD Player,AM/FM Radio,CD Player","Kitchen Sink,Refrigerator,Microwave,Range (Stove)",26.0ft,"Lancaster, CA",2012 Panther M-24BB,"$2,850",$102,$730,"Year - 2012,Manufacturer - Pacific Coachworks,Make - Tango,Model - 24BB,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 4,Number of Bunk Beds - 2,Length - 26.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2012
Shower,Standard,"92.6 miles from Los Angeles, CA","DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",14.0ft,"Solana Beach, CA",BRAND NEW 2021 ,"$2,500",$98,$650,"Year - 2021,Manufacturer - nuCamp RV,Make - ,Model - 5-Wide,Class - Travel Trailer,Sleeps - 2,Total Number of Beds - 1,Fresh water tank - 8.0 gal,Length - 14.0 ft,Height - 7.0 ft",2,In Dash Air Conditioning,Travel Trailer,2021
"Shower,Toilet,Bathroom Sink",Standard,"85.8 miles from Los Angeles, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",21.0ft,"San Marcos, CA",2017 Winnebago Travato in Vista,"$2,970",$99,$693,"Year - 2017,Manufacturer - Winnebago,Make - Travato,Model - 59G,Class - Class B Camping Van,Sleeps - 3,Total Number of Beds - 2,Number of Bunk Beds - 2,Fresh water tank - 30.0 gal,Length - 21.0 ft,Height - 9.0 ft",3,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2017
"Shower,Bathroom Sink,Toilet",Standard,"89.5 miles from Los Angeles, CA",AM/FM Radio,"Microwave,Range (Stove),Refrigerator,Kitchen Sink",25.0ft,"Valley Center, CA",2021 Salem Cruise Lite 251SSXL Ready to ...,"$3,800",$149,$939,"Year - 2021,Manufacturer - Forest River RV,Make - Salem Cruise Lite,Model - 251SSXL,Class - Toy Hauler,Sleeps - 5,Total Number of Beds - 3,Number of Bunk Beds - 1,Fresh water tank - 61.0 gal,Length - 25.0 ft,Height - 11.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2021
"Shower,Bathroom Sink,Toilet",Standard,"65.8 miles from Los Angeles, CA","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Refrigerator,Kitchen Sink",33.0ft,"Murrieta, CA",2019 Forest River RV Stealth FQ2715,"$4,080",$160,"$1,008","Year - 2019,Manufacturer - Forest River RV,Make - Stealth,Model - FQ2715,Class - Toy Hauler,Sleeps - 5,Total Number of Beds - 4,Number of Bunk Beds - 1,Fresh water tank - 140.0 gal,Length - 33.0 ft,Height - 151.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2019
"Shower,Toilet,Bathroom Sink",Standard,"34.1 miles from Los Angeles, CA","TV,CD Player,DVD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Slide Out,Microwave,Range (Stove)",40.0ft,"Ontario, CA",Class A Diesel Pusher – 5 Day Minimum,,$449,,"Year - 2008,Manufacturer - Winnebago,Make - Horizon,Model - (unit 3088),Class - Class A Motor Home,Sleeps - 6,Length - 40.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2008
"Shower,Bathroom Sink,Toilet",Standard,"34.1 miles from Los Angeles, CA","TV,CD Player,DVD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",13.0ft,"Ontario, CA",Toy Hauler – 3 Day Minimum,,$199,,"Year - 2013,Manufacturer - Eclipse,Make - Stellar,Model - (Unit 3081),Class - Toy Hauler,Sleeps - 8,Length - 13.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2013
"Shower,Toilet,Bathroom Sink",Standard,"48.7 miles from Los Angeles, CA","TV,CD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",26.67ft,"Riverside, CA",BRAND NEW! FULLY STOCKED! 2020 Entegra O...,"$5,900",$250,"$1,487","Year - 2020,Manufacturer - Entegra Coach,Make - Odyssey,Model - 24B,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 3,Slides - 1,Length - 26.7 ft,Height - 11.7 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2020
