bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Bathroom Sink,Toilet",Standard,"6.5 miles from Boise, ID","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Slide Out,Refrigerator,Kitchen Sink",39ft,"Boise, ID",Fun Haver,"$6,000",$275,"$1,700","Year - 2008,Manufacturer - Gulf stream,Make - Chishendo,Class - Class A Motor Home,Sleeps - 8,Fresh water tank - 100.0 gal,Length - 39.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2008
"Shower,Toilet,Bathroom Sink",Strict,"20.7 miles from Boise, ID","CD Player,TV,DVD Player,AM/FM Radio,iPod Docking Station","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",32.0ft,"Nampa, ID",Precept. Comes With Guaranteed Reservat...,"$3,500",$257,"$1,542","Year - 2016,Manufacturer - Jayco,Make - Precept,Model - 29UM,Class - Class A Motor Home,Sleeps - 5,Slides - 1,Length - 32.0 ft,Height - 12.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2016
"Shower,Toilet,Bathroom Sink",Standard,"5.3 miles from Boise, ID","TV,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",28ft,"Boise, ID",The Bidds Beds on Wheels ,"$2,970",$99,$693,"Year - 2012,Manufacturer - Keystone,Make - Springdale,Class - Travel Trailer,Sleeps - 10,Length - 28.0 ft",10,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2012
"Shower,Toilet,Bathroom Sink",Standard,"23.3 miles from Boise, ID","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",38.0ft,"Middleton, ID",2019 Jayco Eagle 322RLOK,"$8,500",$300,"$2,100","Year - 2019,Manufacturer - Jayco,Make - Eagle,Model - 322RLOK,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Slides - 3,Fresh water tank - 50.0 gal,Length - 38.0 ft,Height - 142.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2019
"Shower,Toilet,Bathroom Sink",Standard,"5.5 miles from Boise, ID","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",39ft,"Boise, ID",2018 Dutchman Endurance,"$3,927",$154,$970,"Year - 2018,Manufacturer - Dutchman,Make - Endurance,Class - Toy Hauler,Sleeps - 8,Length - 39.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2018
"Toilet,Shower,Bathroom Sink",Strict,"20.7 miles from Boise, ID","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",23.0ft,"Nampa, ID",23′ Jayco Redhawk Class C RV Rental. Off...,"$4,200",$220,"$1,500","Year - 2016,Manufacturer - Jayco,Make - Redhawk,Model - 23,Class - Class C Motor Home,Sleeps - 6,Fresh water tank - 32.0 gal,Length - 23.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2016
"Toilet,Shower,Bathroom Sink",Strict,"20.7 miles from Boise, ID","CD Player,TV,AM/FM Radio,DVD Player","Range (Stove),Refrigerator,Kitchen Sink,Slide Out,Microwave",38.0ft,"Nampa, ID",37′ Coachman Mirada Bunkhouse Class A ba...,,$289,"$1,735","Year - 2019,Manufacturer - Coachmen RV,Make - Mirada Select,Model - 37RB,Class - Class A Motor Home,Sleeps - 8,Total Number of Beds - 6,Number of Bunk Beds - 3,Slides - 2,Length - 38.0 ft,Height - 12.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply,In Dash Air Conditioning",Class A Motor Home,2019
"Shower,Toilet,Bathroom Sink",Standard,"20.7 miles from Boise, ID","CD Player,TV,DVD Player,AM/FM Radio,iPod Docking Station","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",24.0ft,"Nampa, ID",Thor Chateau. Comes With Guaranteed Rese...,,$239,"$1,590","Year - 2018,Manufacturer - Thor Motor Coach,Make - Chateau,Model - 22B,Class - Class B Camping Van,Sleeps - 4,Total Number of Beds - 3,Number of Bunk Beds - 1,Slides - 1,Length - 24.0 ft,Height - 10.0 ft",4,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2018
"Shower,Toilet,Bathroom Sink",Strict,"0.0 miles from Spokane, WA","TV,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",30.0ft,"Spokane, WA",2006 Gulfstream Ultra,"$3,000",$150,$900,"Year - 2006,Manufacturer - Gulf Stream RV,Make - Streamlite,Model - 29QBH,Class - Travel Trailer,Sleeps - 8,Length - 30.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2006
"Shower,Toilet,Bathroom Sink",Standard,"24.8 miles from Spokane, WA","TV,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",29.0ft,"Post Falls, ID",2014 Forest River Salem 26 tBud,"$2,450",$98,$637,"Year - 2014,Manufacturer - Forest River RV,Make - Salem,Model - 26TBUD,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 6,Number of Bunk Beds - 3,Slides - 1,Length - 29.0 ft,Height - 11.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2014
